BlockName,Area,Water_dept
OML100,179,N/A
OML102,795.62,N/A
OML103,914,N/A
OML104,675.04,N/A
OML108 ,759.07,N/A
OML109,772.4,N/A
OML11,"3,096.90",N/A
OML110,966.44,N/A
OML111,460.76,N/A
OML112,437.67,N/A
OML113,"1,669.96",N/A
OML114,464,N/A
OML115 ,309.8,N/A
OML116,360,N/A
OML117,51.12,N/A
OML118 ,"1,166.50",N/A
OML119,715.38,N/A
OML120,910.05,N/A
OML121,884.95,N/A
OML122 ,"1,295.00",N/A
OML123,400.89,N/A
OML124,299.83,N/A
OML125 ,"1,218.63",N/A
OML126,704.5,N/A
OML127,"1,280.80",N/A
OML128 ,"1,198.50",N/A
OML129 ,"1,022.59",N/A
OML13,"1,988.20",N/A
OML130,"1,295.00",N/A
OML131,"1,210.00",N/A
OML132,804.07,N/A
OML133,425.7,N/A
OML134 ,"2,263.70",N/A
OML135 ,"1,851.46",N/A
OML136,"1,595.00",N/A
OML137,848.87,N/A
OML138 ,905.9,N/A
OML139 ,905.9,N/A
OML140 ,"1,220.00",N/A
OML141,"1,295.00",N/A
OML142,"2,020.00",N/A
OML143,368.81,N/A
OML144,95.64,N/A
OML16,103,N/A
OML17,"1,301.25",N/A
OML18,"1,035.00",N/A
OML20,405,N/A
OML21,372,N/A
OML22,722,N/A
OML24,162,N/A
OML25,429,N/A
OML26,165,N/A
OML27,165,N/A
OML28,936,N/A
OML29,983,N/A
OML30,"1,097.00",N/A
OML31,"1,097.00",N/A
OML32,565,N/A
OML33,336,N/A
OML34,950,N/A
OML35,"1,144.00",N/A
OML36,338,N/A
OML38,"2,152.00",N/A
OML4,267,N/A
OML40,498,N/A
OML41,291,N/A
OML42,814,N/A
OML43,767,N/A
OML45,76,N/A
OML46,"1,080.00",N/A
OML49,"1,706.95",N/A
OML51,144.901,N/A
OML52,246.75,N/A
OML53,"1,562.27",N/A
OML55,849.28,N/A
OML58,518.02,N/A
OML59,835.45,N/A
OML60,357.9,N/A
OML61,"1,499.60",N/A
OML62,"1,210.60",N/A
OML63,"2,246.00",N/A
OML64,278.3,N/A
OML65,"1,018.84",N/A
OML66,204.09,N/A
OML67,118.89,N/A
OML68,119.27,N/A
OML70,"1,250.02",N/A
OML71,729.6,N/A
OML72,"1,129.00",N/A
OML74,"1,323.60",N/A
OML77,962,N/A
OML79,970,N/A
OML83,109.3,N/A
OML85,514.9,N/A
OML86,385.4,N/A
OML88,772.8,N/A
OML89,364,N/A
OML90,653,N/A
OML91,157,N/A
OML95,"1,217.38",N/A
OML96,221,N/A
OML98,522.86,N/A
OML99,171,N/A
OPL135,941.2,N/A
OPL2005,662.42,N/A
OPL2006,662.42,N/A
OPL2007,427.79,N/A
OPL2008,40.89,N/A
OPL2009,171,N/A
OPL2010,179,N/A
OPL2012,848.5,N/A
OPL204,"1,670.47",N/A
OPL206,"2,020.00",N/A
OPL214,"2,585.90",N/A
OPL215,"2,586.20",N/A
OPL221,"2,286.00",N/A
OPL223,920,N/A
OPL226,"1,257.00",N/A
OPL227,974.09,N/A
OPL228,"1,915.16",N/A
OPL231,244.04,N/A
OPL233,125.74,N/A
OPL234,"1,214.21",N/A
OPL236,"1,651.98",N/A
OPL239,64.67,N/A
OPL240,47.65,N/A
OPL241,"1,257.44",N/A
OPL242,"1,789.44",N/A
OPL244,"1,700.00",N/A
OPL245,"1,958.31",N/A
OPL247,"1,165.00",N/A
OPL248,"2,447.61",N/A
OPL251,939.69,N/A
OPL252,813.75,N/A
OPL257,425.7,N/A
OPL274,870,N/A
OPL275,544,N/A
OPL276,472.244,N/A
OPL277,29.091,N/A
OPL278,91.86,N/A
OPL279,"1,102.70",N/A
OPL281,122,N/A
OPL282,694.867,N/A
OPL283,990.394,N/A
OPL284,"1,131.48",N/A
OPL286,804.13,N/A
OPL289,386,N/A
OPL290,530.97,N/A
OPL291,"1,287.19",N/A
OPL292,"1,195.46",N/A
OPL297,"1,290.00",N/A
OPL302,"1,639.46",N/A
OPL305,"1,557.87",N/A
OPL306,"1,889.22",N/A
OPL310,"1,934.51",N/A
OPL320,"1,789.44",N/A
OPL321,"1,166.20",N/A
OPL322,"1,789.44",N/A
OPL323,993.46,N/A
OPL325,1265,N/A
OPL452,521.6,N/A
OPL471,"1,369.97",N/A
OPL702,"2,573.50",N/A
OPL703,"2,772.10",N/A
OPL705,"2,547.10",N/A
OPL707,"2,581.70",N/A
OPL722,"2,539.54",N/A
OPL732,"2,612.69",N/A
OPL733,"2,611.42",N/A
OPL809,"2,580.64",N/A
OPL810,"2,583.68",N/A
OPL905,"2,599.80",N/A
OPL907,"2,497.53",N/A
OPL915,"1,194.86",N/A
OPL916,963.45,N/A
OPL917,"1,709.72",N/A
OPL332,1221.5,280
OPL318,2530,2500
OPL 315,1033.49,1500
OPL 324,1905.98,2700
OPL 285,1167.21,600
OPL 256,2553.12,2500
OPL 293,1022.5,800
OPL 2011,1290,2000
OPL 250,1290,2600
OPL 253,1290,3500
OPL 254,1290,3500
OPL 255,1290,3200
OPL 258,233.74,1900
OPL 259,850,3000
OPL 260,1290,3000
OPL 261,1290,>4000
OPL 262,1290,4000
OPL 264,1290,3700
OPL 265,1290,3300
OPL 266,1290,3100
OPL 267,1290,3000
OPL 268,1290,>4000
OPL 269,1290,>4000
OPL 270,1290,4000
OPL 271,1290,3800
OPL 272,1290,3700
OPL 273,1290,3200
OPL 294,923/17,600
OPL 295,1217.6,500
OPL 312,2018.88,2400
OPL 313,2225.94,2400
OPL 314,2225.94,2000
OPL 317,2500,3000
OPL 319,1113,2700
OPL 327,1265,3000
OPL 328,894.72,3000
OPL 329,1295,3000
OPL 330,1295,3200
OPL 331,1295,3000
OPL 333,1295,3500
OPL 334,1295,3200
OPL 335,1295,4000
OPL 336,1295,3600
OPL 337,1295,4000
OPL 338,1295,3700
OPL 339,1295,3500
OPL 340,1295,3000
OPL 341,1295,>4000
OPL 342,1295,>4000
OPL 343,1295,>4000
OPL 344,1290,4000
OPL 345,1290,>4000
OPL 346,1290,>4000
OPL 347,1295,0 - 1800
OPL 263,400,50
OPL 287,135,10
OPL 454,1551.28,100
OPL 467,88.69,80
OPL 288,171.78,190
OPL 311,2036.55,0 - 2000
OPL 201,2381.79,na
OPL 202,1689.76,na
OPL 203,2376.4,na
OPL 207,1584,na
OPL 208,2916,na
OPL 901,"2,434.59",na
OPL 902,"2,589.58",na
OPL 903,"2,552.70",na
OPL 904,"1,674.75",na
OPL 906,"2,550.00",na
OPL 908,"2,550.00",na
OPL 909,"2,500.00",na
OPL 910,"2,500.00",na
OPL 911,"2,500.00",na
OPL 912,"2,500.00",na
OPL 913,"2,500.00",na
OPL 914,"1,674.62",na
OPL 301,"1,527.37",na
OPL 302,"1,639.46",na
OPL 303,"1,609.37",na
OPL 304,"1,585.62",na
OPL 307,"1,121.21",na
OPL 308,"1,362.56",na
OPL 701,2547.2,na
OPL 704,2539.4,na
OPL 706,2558.9,na
OPL 708,2539.4,na
OPL 709,2526.5,na
OPL 710,2533.8,na
OPL 711,2545.4,na
OPL 712,2511.7,na
OPL 713,2549.6,na
OPL 714,2556.1,na
OPL 715,2260.6,na
OPL 716,2542.1,na
OPL 717,2581.2,na
OPL 718,2568.6,na
OPL 719,2546.4,na
OPL 720,2564.2,na
OPL 721,2540.11,na
OPL 723,2534.23,na
OPL 724,2568,na
OPL 725,2579.2,na
OPL 726,2592.24,na
OPL 727,2293.4,na
OPL 728,2579.01,na
OPL 729,2614.71,na
OPL 730,2613.69,na
OPL 731,2614.31,na
OPL 734,2610.48,na
OPL 735,2130.84,na
OPL 736,2210.98,na
OPL 737,2619.64,na
OPL 738,2618.69,na
OPL 739,2617.07,na
OPL 740,2615.79,na
OPL 741,2614.85,na
OPL 742,2377.93,na
OPL 743,2621.28,na
OPL 744,2621.28,na
OPL 745,2619.99,na
OPL 746,2761.38,na
OPL 801,"2,580.60",na
OPL 802,"2,583.70",na
OPL 803,"2,583.18",na
OPL 804,"2,586.23",na
OPL 805,"2,580.64",na
OPL 806,"2,585.72",na
OPL 807,"2,588.77",na
OPL 808,"2,583.18",na
OPL 811,"2,578.10",na
OPL 812,"1,633.58",na
OPL 813,"2,575.55",na
OPL 814,"2,578.59",na
OPL 815,"2,573.02",na
OPL 816,"2,578.09",na
OPL 817,"2,145.00",na
OPL 818,"2,448.38",na
OPL 819,"1,634.20",na
OPL 820,"2,418.00",na
OPL 821,"1,602.80",na
OPL 822,"2,096.01",na
OPL 823,"2,583.18",na
OPL 824,"2,023.00",na
OPL 825,"2,088.50",na
OPL 826,"2,506.50",na
OPL 827,"2,506.98",na
OPL 828,"2,506.00",na
OPL 829,"2,096.00",na
OPL 830,"2,583.20",na
OPL 831,"2,316.90",na
OPL 832,"2,535.60",na
OPL 833,"2,535.10",na
OPL 834,"2,535.10",na
OPL 835,"2,535.10",na
OPL 836,"2,535.10",na
OPL 837,"2,119.90",na
OPL 838,"2,535.10",na
OPL 839,"2,535.10",na
OPL 840,"2,535.60",na
OPL 841,"2,535.60",na
OPL 842,"2,535.09",na
OPL 843,"2,535.60",na
OPL 601,2000,na
OPL 602,1920,na
OPL 603,1860,na
OPL 604,1984,na
OPL 605,2340,na
OPL 606,2220,na
OPL 607,2040,na
OPL 608,2330,na
OPL 609,2500,na
OPL 610,2500,na
OPL 611,2500,na
OPL 612,2500,na
OPL 613,2500,na
OPL 614,1440,na
OPL 615,2510,na
OPL 616,2500,na
OPL 617,2500,na
OPL 618,2500,na
OPL 619,2020,na
OPL 620,2400,na
OPL 621,2500,na
OPL 622,2500,na
OPL 623,1176,na
OPL 624,2300,na
OPL 625,2300,na
OPL 626,2100,na
OPL 627,2500,na
OPL 628,1900,na
OPL 501,2380,na
OPL 502,1776,na
OPL 503,2312,na
OPL 504,2450,na
OPL 505,2500,na
OPL 506,1801,na
OPL 507,1912,na
OPL 508,2500,na
OPL 509,2500,na
OPL 510,1032,na
OPL 511,1806,na
OPL 512,2440,na
OPL 513,2500,na
OPL 514,2376,na
OPL 515,2152,na
OPL 516,2500,na
OPL 517,2500,na
OPL201,N/A,OPL
OPL2011,N/A,OPL
OPL202,N/A,OPL
OPL203,N/A,OPL
OPL207,N/A,OPL
OPL208,N/A,OPL
OPL250,N/A,OPL
OPL253,N/A,OPL
OPL254,N/A,OPL
OPL255,N/A,OPL
OPL256,N/A,OPL
OPL258,N/A,OPL
OPL259,N/A,OPL
OPL260,N/A,OPL
OPL261,N/A,OPL
OPL262,N/A,OPL
OPL263,N/A,OPL
OPL264,N/A,OPL
OPL265,N/A,OPL
OPL266,N/A,OPL
OPL267,N/A,OPL
OPL268,N/A,OPL
OPL269,N/A,OPL
OPL270,N/A,OPL
OPL271,N/A,OPL
OPL272,N/A,OPL
OPL273,N/A,OPL
OPL285,N/A,OPL
OPL287,N/A,OPL
OPL288,N/A,OPL
OPL293,N/A,OPL
OPL294,N/A,OPL
OPL295,N/A,OPL
OPL301,N/A,OPL
OPL303,N/A,OPL
OPL304,N/A,OPL
OPL307,N/A,OPL
OPL308,N/A,OPL
OPL311,N/A,OPL
OPL312,N/A,OPL
OPL313,N/A,OPL
OPL314,N/A,OPL
OPL315,N/A,OPL
OPL317,N/A,OPL
OPL318,N/A,OPL
OPL319,N/A,OPL
OPL324,N/A,OPL
OPL327,N/A,OPL
OPL328,N/A,OPL
OPL329,N/A,OPL
OPL330,N/A,OPL
OPL331,N/A,OPL
OPL332,N/A,OPL
OPL333,N/A,OPL
OPL334,N/A,OPL
OPL335,N/A,OPL
OPL336,N/A,OPL
OPL337,N/A,OPL
OPL338,N/A,OPL
OPL339,N/A,OPL
OPL340,N/A,OPL
OPL341,N/A,OPL
OPL342,N/A,OPL
OPL343,N/A,OPL
OPL344,N/A,OPL
OPL345,N/A,OPL
OPL346,N/A,OPL
OPL347,N/A,OPL
OPL454,N/A,OPL
OPL467,N/A,OPL
OPL501,N/A,OPL
OPL502,N/A,OPL
OPL503,N/A,OPL
OPL504,N/A,OPL
OPL505,N/A,OPL
OPL506,N/A,OPL
OPL507,N/A,OPL
OPL508,N/A,OPL
OPL509,N/A,OPL
OPL510,N/A,OPL
OPL511,N/A,OPL
OPL512,N/A,OPL
OPL513,N/A,OPL
OPL514,N/A,OPL
OPL515,N/A,OPL
OPL516,N/A,OPL
OPL517,N/A,OPL
OPL601,N/A,OPL
OPL602,N/A,OPL
OPL603,N/A,OPL
OPL604,N/A,OPL
OPL605,N/A,OPL
OPL606,N/A,OPL
OPL607,N/A,OPL
OPL608,N/A,OPL
OPL609,N/A,OPL
OPL610,N/A,OPL
OPL611,N/A,OPL
OPL612,N/A,OPL
OPL613,N/A,OPL
OPL614,N/A,OPL
OPL615,N/A,OPL
OPL616,N/A,OPL
OPL617,N/A,OPL
OPL618,N/A,OPL
OPL619,N/A,OPL
OPL620,N/A,OPL
OPL621,N/A,OPL
OPL622,N/A,OPL
OPL623,N/A,OPL
OPL624,N/A,OPL
OPL625,N/A,OPL
OPL626,N/A,OPL
OPL627,N/A,OPL
OPL628,N/A,OPL
OPL701,N/A,OPL
OPL704,N/A,OPL
OPL706,N/A,OPL
OPL708,N/A,OPL
OPL709,N/A,OPL
OPL710,N/A,OPL
OPL711,N/A,OPL
OPL712,N/A,OPL
OPL713,N/A,OPL
OPL714,N/A,OPL
OPL715,N/A,OPL
OPL716,N/A,OPL
OPL717,N/A,OPL
OPL718,N/A,OPL
OPL719,N/A,OPL
OPL720,N/A,OPL
OPL721,N/A,OPL
OPL723,N/A,OPL
OPL724,N/A,OPL
OPL725,N/A,OPL
OPL726,N/A,OPL
OPL727,N/A,OPL
OPL728,N/A,OPL
OPL729,N/A,OPL
OPL730,N/A,OPL
OPL731,N/A,OPL
OPL734,N/A,OPL
OPL735,N/A,OPL
OPL736,N/A,OPL
OPL737,N/A,OPL
OPL738,N/A,OPL
OPL739,N/A,OPL
OPL740,N/A,OPL
OPL741,N/A,OPL
OPL742,N/A,OPL
OPL743,N/A,OPL
OPL744,N/A,OPL
OPL745,N/A,OPL
OPL746,N/A,OPL
OPL801,N/A,OPL
OPL802,N/A,OPL
OPL803,N/A,OPL
OPL804,N/A,OPL
OPL805,N/A,OPL
OPL806,N/A,OPL
OPL807,N/A,OPL
OPL808,N/A,OPL
OPL811,N/A,OPL
OPL812,N/A,OPL
OPL813,N/A,OPL
OPL814,N/A,OPL
OPL815,N/A,OPL
OPL816,N/A,OPL
OPL817,N/A,OPL
OPL818,N/A,OPL
OPL819,N/A,OPL
OPL820,N/A,OPL
OPL821,N/A,OPL
OPL822,N/A,OPL
OPL823,N/A,OPL
OPL824,N/A,OPL
OPL825,N/A,OPL
OPL826,N/A,OPL
OPL827,N/A,OPL
OPL828,N/A,OPL
OPL829,N/A,OPL
OPL830,N/A,OPL
OPL831,N/A,OPL
OPL832,N/A,OPL
OPL833,N/A,OPL
OPL834,N/A,OPL
OPL835,N/A,OPL
OPL836,N/A,OPL
OPL837,N/A,OPL
OPL838,N/A,OPL
OPL839,N/A,OPL
OPL840,N/A,OPL
OPL841,N/A,OPL
OPL842,N/A,OPL
OPL843,N/A,OPL
OPL901,N/A,OPL
OPL902,N/A,OPL
OPL903,N/A,OPL
OPL904,N/A,OPL
OPL906,N/A,OPL
OPL908,N/A,OPL
OPL909,N/A,OPL
OPL910,N/A,OPL
OPL911,N/A,OPL
OPL912,N/A,OPL
OPL913,N/A,OPL
OPL914,N/A,OPL
